50002 (male)
chicken_wings 216
hips 697
jiggle_on_toes 240
jumping_jacks 461
knees 500
light_hopping_loose 234
light_hopping_stiff 214
one_leg_jump 541
one_leg_loose 264
punching 303
running_on_spot 331
shake_arms 230
shake_hips 243
shake_shoulders 255

50007 (male)
chicken_wings 282
jiggle_on_toes 285
jumping_jacks 323
knees 616
light_hopping_loose 296
light_hopping_stiff 383
one_leg_jump 300
one_leg_loose 377
punching 236
running_on_spot 542
shake_arms 251
shake_hips 320
shake_shoulders 292

50009 (male)
chicken_wings 212
hips 549
jiggle_on_toes 245
jumping_jacks 190
light_hopping_loose 233
light_hopping_stiff 254
one_leg_jump 229
one_leg_loose 179
punching 199
running_on_spot 298
shake_hips 251

50026 (male)
chicken_wings 224
hips 860
jiggle_on_toes 225
jumping_jacks 343
knees 801
light_hopping_loose 212
light_hopping_stiff 200
one_leg_jump 330
one_leg_loose 231
punching 213
running_on_spot 398
shake_arms 277
shake_hips 238
shake_shoulders 270

50027 (male)
hips 810
jiggle_on_toes 202
jumping_jacks 290
knees 580
light_hopping_loose 207
light_hopping_stiff 182
one_leg_jump 259
one_leg_loose 221
punching 194
running_on_spot 359
shake_arms 232
shake_hips 173
shake_shoulders 154

50004 (female)
chicken_wings 226
hips 604
jiggle_on_toes 239
jumping_jacks 360
knees 731
light_hopping_loose 358
light_hopping_stiff 310
one_leg_jump 246
one_leg_loose 294
punching 219
shake_arms 251
shake_hips 214
shake_shoulders 198

50020 (female)
chicken_wings 142
hips 331
jiggle_on_toes 201
knees 515
light_hopping_loose 173
light_hopping_stiff 179
one_leg_jump 249
one_leg_loose 166
punching 203
running_on_spot 248
shake_arms 173
shake_hips 231
shake_shoulders 144

50021 (female)
chicken_wings 258
hips 581
knees 664
light_hopping_stiff 216
one_leg_jump 248
one_leg_loose 224
punching 253
running_on_spot 226
shake_arms 273
shake_hips 274
shake_shoulders 337

50022 (female)
hips 546
jiggle_on_toes 277
jumping_jacks 308
knees 949
light_hopping_loose 303
light_hopping_stiff 289
one_leg_jump 409
one_leg_loose 254
punching 203
running_on_spot 297
shake_arms 348
shake_hips 269
shake_shoulders 257

50025 (female)
chicken_wings 210
hips 892
jiggle_on_toes 231
knees 1251
light_hopping_loose 220
light_hopping_stiff 189
one_leg_jump 327
one_leg_loose 246
punching 200
running_on_spot 331
shake_arms 199
shake_hips 196
shake_shoulders 236
